sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,amf_sampling_density,Resolve_Biome,arbuscular_mycorrhizal_richness,CV_Fold_Random,Pixel_Long,Pixel_Lat,CV_Fold_Spatial
S7367,965.0,8.54960906373533,692.359130859375,192.533192298867,63.6033401489258,0,1038.0,-295.0,2246.0,0.328473031520844,-0.405693888664246,1318.5,3.92698192596436,4.625,0.143388524651527,0.0,130.723373413086,5128.4990234375,199.5625,40.7864189147949,155.768829345703,53.9133071899414,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.914351284503937,5,1.48817380254726,2,-118.487503051758,54.1624984741211,8
S2876,1266.0,136.550035554004,3570.7373046875,186.54975669949,23.9983329772949,0,266.0,3682.0,5493.0,0.364866554737091,0.93105810880661,1662.5,5.11083507537842,-2.75,0.0,0.0,58.2741317749024,11470.3583984375,198.435607910156,56.8148612976074,219.562637329102,48.1438026428223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2.70805020110221,2,-155.304168701172,19.8291664123535,1
S7255,1447.99987792969,100.667510631422,543.984619140625,273.684238449422,41.3966827392578,0,492.0,1602.0,5658.0,0.680227518081665,-0.70455527305603,1652.0,15.0495548248291,5.9375,0.0,0.0,70.8135147094727,5953.7998046875,198.817596435547,48.0841827392578,42.2609901428223,63.0618133544922,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0812075063586235,12,2.17315951993702,3,-2.83750009536743,37.404167175293,10
S2980,1128.0,22.3310183111705,499.958679199219,225.331018311171,104.901679992676,35,830.0,5194.0,3435.0,-0.0415957011282444,0.897840023040772,1374.0,8.12283325195313,-9.25,0.0,0.0,5.26719999313355,2604.23315429688,200.0,39.8361511230469,65.7622375488281,67.0951461791992,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123713977634907,4,3.76678914535105,9,117.512496948242,42.2958335876465,9
S1630,2584.0,196.516414952926,301.790008544922,344.516414952926,32.1033477783203,0,344.0,1059.0,7108.0,0.85057657957077,-0.48925256729126,429.5,0.475890576839447,-0.4375,0.0,0.0,1.7123556137085,2045.53796386719,153.192123413086,71.5047912597656,13.1921443939209,66.9238739013672,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0136968605220318,13,2.52572864430826,1,121.0625,-29.6625003814697,8
S4968,958.0,54.7004201318847,652.708801269531,216.716866044507,87.8033294677734,48,1146.0,5413.0,3438.0,0.323442876338959,0.900258302688599,2141.5,9.81325721740723,-4.875,0.0,0.0,0.0,4144.763671875,200.0,34.9654769897461,34.3854331970215,75.106201171875,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168143928050995,10,3.40651653808047,1,106.237503051758,35.6875,5
S3793,960.0,28.5824825030893,572.436340332031,211.582761928817,59.9966812133789,0,1131.0,1369.0,1834.0,0.938447594642639,0.324243545532227,918.5,4.26942491531372,-0.3125,0.0,0.0,112.542930603027,5820.9306640625,200.0,38.4749450683594,149.130416870117,57.5864372253418,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.899044096469879,5,1.94591014905531,3,-118.762496948242,54.5125007629395,8
S7569,931.0,17.5,448.395233154297,220.516736861999,45.4033203125,0,520.0,1847.0,2230.0,0.869116306304932,-0.488793641328812,688.0,0.563658833503723,-0.1875,0.0,0.491363197565079,93.9731521606445,6308.01025390625,200.0,44.4388885498047,181.962295532227,58.1766052246094,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.808474004268646,6,1.87072467822642,1,-119.095832824707,56.2458343505859,7
S7184,1261.0,130.567312628764,3437.0693359375,183.533635882383,24.1966648101807,0,296.0,-647.0,4310.0,0.584362030029297,0.81149297952652,1773.5,4.93421936035156,-0.5,0.0,0.0,66.0131530761719,7730.611328125,190.601638793945,48.1131896972656,203.790771484375,49.0102996826172,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2.30258509299405,3,-155.3125,19.8208332061768,1
S2736,873.0,105.483265722001,813.446838378906,224.483265722001,11.5,59,788.0,3436.0,1770.0,-0.684363842010498,0.418383598327637,37.0,0.530445039272308,-1.125,0.0,4.47345924377441,32.833423614502,6692.2626953125,200.0,31.5538711547852,19.4111709594727,61.1898803710938,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.448400497436523,4,2.484906649788,10,4.96250009536743,50.8624992370606,6
S4465,1254.0,121.616831286007,3194.42333984375,176.583433402006,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2,2.484906649788,7,-155.329162597656,19.8208332061768,1
S6614,1267.0,131.616273625113,3438.279296875,183.566476069557,24.1966648101807,0,261.0,3851.0,6205.0,0.399324119091034,0.916768729686737,1745.0,5.11938190460205,0.375,0.0,0.0,18.6503105163574,7168.3720703125,195.909118652344,49.1069450378418,194.359100341797,50.2971229553223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2.21550102604012,4,-155.3125,19.8291664123535,1
S6974,909.0,26.4668076766638,622.047607421875,213.466528236002,66.9983291625977,0,1019.0,2372.0,2803.0,-0.963635861873627,-0.0813626945018768,911.0,2.93112802505493,2.5625,0.0,0.0,93.6081771850586,5597.44970703125,200.0,40.1538505554199,211.946792602539,56.063175201416,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.897347271442413,5,2.52564860875686,4,-116.595832824707,54.2041664123535,9
S2679,457.999938964844,-6.41602498708022,1258.32727050781,132.600717718918,26.8983249664307,0,464.0,749.0,4027.0,0.997219562530518,-0.0744867026805878,586.0,12.5424537658691,-0.6875,0.0,0.0,55.9237327575684,1975.02062988281,137.998413085938,51.1633911132813,177.293045043945,48.1363487243652,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0210591554641724,11,2.63905732961526,1,18.3291664123535,68.4208297729492,2
S7166,1266.0,136.550035554004,3570.7373046875,186.54975669949,23.9983329772949,0,266.0,3682.0,5493.0,0.364866554737091,0.93105810880661,1662.5,5.11083507537842,-2.75,0.0,0.0,58.2741317749024,11470.3583984375,198.435607910156,56.8148612976074,219.562637329102,48.1438026428223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2.66861613714764,5,-155.304168701172,19.8291664123535,1
S1973,1708.0,241.53319737428,1042.38854980469,318.516706537999,77.4983444213867,51,329.0,-374.0,3695.0,0.731687545776367,0.676876187324524,502.5,1.04396522045136,0.375,0.805777966976166,0.0,7.39146661758423,7355.36474609375,200.0,49.3860931396484,18.4429626464844,67.7429046630859,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0081431530416011,9,4.01638302075239,1,37.4124984741211,-6.92916679382324,9
S1478,788.0,75.5499924108601,923.760314941406,208.549712003728,21.495002746582,23,337.0,2957.0,4168.0,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0.0,0.0,94.2636413574219,7244.19873046875,200.0,26.1248283386231,53.933780670166,58.1777229309082,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.67644602060318,4,3.25809653802148,1,9.46249961853027,48.4625015258789,7
S7262,1021.99993896484,-1.38251976126154,1379.70458984375,187.634178896739,22.5966567993164,0,1769.0,1322.0,2437.0,0.534149944782257,0.770572900772095,2094.5,18.3628196716309,-15.4375,0.0,0.0,1.08088886737823,1275.16369628906,82.6640853881836,48.9281578063965,121.654556274414,57.464786529541,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.36523112654686,5,0.693147180559945,5,-113.345832824707,48.4625015258789,2
S2904,788.0,75.5499924108601,923.760314941406,208.549712003728,21.495002746582,23,337.0,2957.0,4168.0,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0.0,0.0,94.2636413574219,7244.19873046875,200.0,26.1248283386231,53.933780670166,58.1777229309082,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.67644602060318,4,3.36726136557591,2,9.46249961853027,48.4625015258789,7
S6599,1266.0,136.550035554004,3570.7373046875,186.54975669949,23.9983329772949,0,266.0,3682.0,5493.0,0.364866554737091,0.93105810880661,1662.5,5.11083507537842,-2.75,0.0,0.0,58.2741317749024,11470.3583984375,198.435607910156,56.8148612976074,219.562637329102,48.1438026428223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2.65654634002779,6,-155.304168701172,19.8291664123535,1
S1863,921.0,66.5,1030.853515625,257.483282154,14.8999996185303,76,384.0,-542.0,2795.0,-0.316227436065674,0.707107126712799,17.5,0.134805351495743,-0.0625,0.0,2.37628841400147,0.868444442749023,4527.15087890625,200.0,29.2360038757324,72.0845489501953,59.0634002685547,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.133889093995094,4,3.13549421592915,3,-73.3708343505859,45.720832824707,10
S7095,2492.0,204.465933755251,315.416687011719,364.465933755251,47.9949569702149,0,322.0,-712.0,7972.0,-0.869332611560822,-0.494131028652191,340.5,1.12509536743164,-0.4375,0.0,0.0,3.14595556259155,1038.03552246094,101.348579406738,65.2999572753906,12.1704797744751,67.9509735107422,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200707614421844,12,0.693147180559945,4,116.762496948242,-29.1958332061768,8
S7568,934.0,16.5167746339976,602.65283203125,206.516774633998,65.2983551025391,0,986.0,3801.0,2360.0,0.939625978469849,-0.34219628572464,1161.5,2.06214833259583,-0.875,0.0,0.0,82.9573364257813,5853.595703125,200.0,37.3474311828613,150.082870483398,54.9116744995117,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.922229051589966,5,1.09861228866811,6,-117.329170227051,53.8041648864746,8
S7150,913.0,24.5167358979998,615.132568359375,211.483582346861,66.3983306884766,0,590.0,1459.0,3239.0,0.930042028427124,-0.367343217134476,937.0,1.98057985305786,-1.0,0.0,0.0141290314495564,83.0638198852539,5588.51806640625,200.0,41.7251663208008,216.495452880859,55.3373413085938,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.897347271442413,5,0.693147180559945,7,-116.604164123535,54.2374992370606,9
S1217,1369.0,48.6189492791917,629.426147460938,228.585974150263,102.296684265137,0,414.0,4053.0,4367.0,0.863188028335571,0.107119612395763,1437.0,12.9578094482422,14.625,0.0,0.0,39.6716461181641,1396.20544433594,154.404739379883,42.7268371582031,66.1033172607422,67.0804748535156,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.173775777220726,4,3.69503550787116,4,115.420829772949,39.9541664123535,2
S3713,1752.0,168.483584466913,932.101440429688,283.5,72.4983291625977,100,465.0,-1405.0,2547.0,-0.760419845581055,0.644172787666321,484.0,0.452104181051254,0.375,0.0,0.0,0.100977778434753,2985.7080078125,200.0,49.4721603393555,12.5596866607666,64.2099227905274,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0474255196750164,8,3.29568871762042,1,-64.2125015258789,-31.5791664123535,9
S5901,922.0,26.5164175108955,593.220336914063,214.516696942001,61.2033157348633,0,884.0,3874.0,2619.0,-0.263716578483582,0.585990607738495,1097.0,1.72063374519348,2.875,0.0,0.0,100.169067382813,5081.91796875,200.0,36.0678749084473,129.343063354492,63.4152412414551,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.911142706871033,5,1.79175946922806,8,-116.920829772949,53.3375015258789,9
S2939,1316.0,191.516528083089,1996.92687988281,337.483276594001,57.5999984741211,94,864.0,523.0,2159.0,-0.629940986633301,0.694435775279999,44.5,0.825809597969055,0.0625,0.0,132.237075805664,2.97528886795044,3772.25024414063,200.0,40.8261566162109,9.8509931564331,51.6254119873047,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.168347865343094,4,3.40946314423901,5,116.929168701172,28.2124996185303,7
S7775,934.0,16.5167746339976,602.65283203125,206.516774633998,65.2983551025391,0,986.0,3801.0,2360.0,0.939625978469849,-0.34219628572464,1161.5,2.06214833259583,-0.875,0.0,0.0,82.9573364257813,5853.595703125,200.0,37.3474311828613,150.082870483398,54.9116744995117,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.922229051589966,5,0.693147180559945,9,-117.329170227051,53.8041648864746,8
S1472,1385.0,128.5,673.010131835938,303.5,102.403327941895,100,777.0,693.0,1642.0,-9.41749419780535e-07,-0.782300591468811,21.5,0.180392995476723,-0.125,0.0062800822779536,21.0128993988037,0.0,5984.97314453125,200.0,43.8412780761719,8.96888637542725,72.6647567749023,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.121672533452511,4,4.40059075697305,6,119.995834350586,36.6291656494141,2
S5594,922.0,26.5164175108955,593.220336914063,214.516696942001,61.2033157348633,0,884.0,3874.0,2619.0,-0.263716578483582,0.585990607738495,1097.0,1.72063374519348,2.875,0.0,0.0,100.169067382813,5081.91796875,200.0,36.0678749084473,129.343063354492,63.4152412414551,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.911142706871033,5,1.6094379124341,10,-116.920829772949,53.3375015258789,9
S6474,950.0,30.4665276520027,532.548461914063,217.449791478004,48.9999961853027,0,646.0,1154.0,3665.0,-0.986118972301483,-0.0137710347771645,807.5,3.76091575622559,-4.5,0.0,0.0,52.4261322021484,4755.53466796875,200.0,46.5761489868164,201.474517822266,57.3732299804688,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.84877210855484,6,0.693147180559945,2,-119.695831298828,54.8125,6
S1084,1542.0,254.516470000648,1661.12731933594,309.533182270648,58.7983093261719,100,566.0,-869.0,1739.0,0.396105974912643,0.464977324008942,47.5,1.09015381336212,1.25,0.0,69.7234649658203,63.2056884765625,8267.60546875,200.0,65.5713195800781,19.1919918060303,51.7577896118164,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778709873557091,1,4.50424428427732,7,-6.52916669845581,5.01249980926514,8
S1985,1104.0,44.5002813288256,553.161437988281,268.500281328826,104.901672363281,100,593.0,328.0,3673.0,-0.147347897291183,-0.57735025882721,139.0,0.727026581764221,0.9375,0.0,55.994441986084,0.0,3002.53979492188,200.0,27.1125774383545,23.4905910491943,67.2915344238281,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0907023027539253,4,2.70805020110221,7,126.845832824707,45.845832824707,8
S7683,1267.0,131.616273625113,3438.279296875,183.566476069557,24.1966648101807,0,261.0,3851.0,6205.0,0.399324119091034,0.916768729686737,1745.0,5.11938190460205,0.375,0.0,0.0,18.6503105163574,7168.3720703125,195.909118652344,49.1069450378418,194.359100341797,50.2971229553223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,0.693147180559945,8,-155.3125,19.8291664123535,1
S2571,1260.0,37.516730037999,377.614898681641,248.499921159994,104.70002746582,48,746.0,3307.0,3786.0,0.990330457687378,0.0856757462024689,1343.0,0.904352128505707,-0.625,0.0,0.0,0.0,2077.00756835938,200.0,51.2353324890137,26.3958492279053,80.686408996582,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13196773827076,8,3.85532565076834,2,116.279167175293,42.029167175293,9
S4068,1436.0,149.48327339,580.580017089844,316.5,89.2016677856445,100,637.0,1005.0,2024.0,-0.894427239894867,-0.180256739258766,125.0,0.134805351495743,0.0,0.0,26.7020034790039,0.937244415283203,3933.0908203125,200.0,28.0876197814941,12.8724765777588,80.8249435424805,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.258717089891434,4,4.00867775929215,8,113.345832824707,34.8875007629395,10
